"route","page_type","http","h1_count","canonical_ok","unique_title","unique_description","indexable","sitemap","body_words","source_links","body_theater","result"
"/","home","200","1","true","true","true","true","true","234","1","NOT_APPLICABLE","PASS"
"/health","hub","200","1","true","true","true","true","true","1008","1","NOT_APPLICABLE","PASS"
"/health/acute-myocardial-infarction","disease","200","1","true","true","true","true","true","1389","8","20_UNIQUE_SCENES","PASS"
"/health/allergic-rhinitis","disease","200","1","true","true","true","true","true","1070","6","20_UNIQUE_SCENES","PASS"
"/health/anxiety-disorder","disease","200","1","true","true","true","true","true","1584","11","20_UNIQUE_SCENES","PASS"
"/health/asthma","disease","200","1","true","true","true","true","true","1231","8","20_UNIQUE_SCENES","PASS"
"/health/depression","disease","200","1","true","true","true","true","true","1546","8","20_UNIQUE_SCENES","PASS"
"/health/dyslipidemia","disease","200","1","true","true","true","true","true","1241","11","20_UNIQUE_SCENES","PASS"
"/health/gastroesophageal-reflux-disease","disease","200","1","true","true","true","true","true","1028","8","20_UNIQUE_SCENES","PASS"
"/health/gout","disease","200","1","true","true","true","true","true","1381","9","20_UNIQUE_SCENES","PASS"
"/health/guides/appointment-questions","support","200","1","true","true","true","true","true","800","4","NOT_APPLICABLE","PASS"
"/health/guides/danger-signals","support","200","1","true","true","true","true","true","777","7","NOT_APPLICABLE","PASS"
"/health/guides/family-medication-support","support","200","1","true","true","true","true","true","869","5","NOT_APPLICABLE","PASS"
"/health/guides/measuring-blood-pressure","support","200","1","true","true","true","true","true","723","6","NOT_APPLICABLE","PASS"
"/health/guides/medication-list","support","200","1","true","true","true","true","true","885","5","NOT_APPLICABLE","PASS"
"/health/guides/older-parent-health-organizer","support","200","1","true","true","true","true","true","920","6","NOT_APPLICABLE","PASS"
"/health/guides/reading-health-results","support","200","1","true","true","true","true","true","855","4","NOT_APPLICABLE","PASS"
"/health/guides/symptom-journal","support","200","1","true","true","true","true","true","817","6","NOT_APPLICABLE","PASS"
"/health/guides/understanding-hba1c","support","200","1","true","true","true","true","true","567","4","NOT_APPLICABLE","PASS"
"/health/hypertension","disease","200","1","true","true","true","true","true","1064","5","20_UNIQUE_SCENES","PASS"
"/health/irritable-bowel-syndrome","disease","200","1","true","true","true","true","true","1348","12","20_UNIQUE_SCENES","PASS"
"/health/kidney-stones","disease","200","1","true","true","true","true","true","1311","8","20_UNIQUE_SCENES","PASS"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","disease","200","1","true","true","true","true","true","1325","12","20_UNIQUE_SCENES","PASS"
"/health/migraine","disease","200","1","true","true","true","true","true","1390","8","20_UNIQUE_SCENES","PASS"
"/health/obesity","disease","200","1","true","true","true","true","true","1376","10","20_UNIQUE_SCENES","PASS"
"/health/osteoarthritis","disease","200","1","true","true","true","true","true","1126","7","20_UNIQUE_SCENES","PASS"
"/health/osteoporosis","disease","200","1","true","true","true","true","true","1154","9","20_UNIQUE_SCENES","PASS"
"/health/sleep-apnea","disease","200","1","true","true","true","true","true","1316","12","20_UNIQUE_SCENES","PASS"
"/health/stroke","disease","200","1","true","true","true","true","true","1491","8","20_UNIQUE_SCENES","PASS"
"/health/tools/acute-myocardial-infarction-visit-card","tool","200","1","true","true","true","false","false","448","4","NOT_APPLICABLE","PASS"
"/health/tools/allergy-appointment-questions","tool","200","1","true","true","true","true","true","396","4","NOT_APPLICABLE","PASS"
"/health/tools/allergy-environment-check","tool","200","1","true","true","true","false","false","298","3","NOT_APPLICABLE","PASS"
"/health/tools/allergy-trigger-observation","tool","200","1","true","true","true","true","true","345","3","NOT_APPLICABLE","PASS"
"/health/tools/anxiety-disorder-visit-card","tool","200","1","true","true","true","false","false","511","7","NOT_APPLICABLE","PASS"
"/health/tools/asthma-visit-card","tool","200","1","true","true","true","true","true","445","5","NOT_APPLICABLE","PASS"
"/health/tools/blood-pressure-log","tool","200","1","true","true","true","true","true","334","4","NOT_APPLICABLE","PASS"
"/health/tools/blood-pressure-prep","tool","200","1","true","true","true","true","true","345","4","NOT_APPLICABLE","PASS"
"/health/tools/blood-pressure-questions","tool","200","1","true","true","true","true","true","344","4","NOT_APPLICABLE","PASS"
"/health/tools/blood-pressure-warning","tool","200","1","true","true","true","false","false","270","3","NOT_APPLICABLE","PASS"
"/health/tools/depression-visit-card","tool","200","1","true","true","true","false","false","488","6","NOT_APPLICABLE","PASS"
"/health/tools/diabetes-questions","tool","200","1","true","true","true","true","true","366","5","NOT_APPLICABLE","PASS"
"/health/tools/diabetes-test-terms","tool","200","1","true","true","true","false","false","242","2","NOT_APPLICABLE","PASS"
"/health/tools/dyslipidemia-visit-card","tool","200","1","true","true","true","true","true","461","6","NOT_APPLICABLE","PASS"
"/health/tools/family-support-checklist","tool","200","1","true","true","true","false","false","333","5","NOT_APPLICABLE","PASS"
"/health/tools/gerd-appointment-prep","tool","200","1","true","true","true","true","true","460","6","NOT_APPLICABLE","PASS"
"/health/tools/gerd-everyday-patterns","tool","200","1","true","true","true","false","false","417","6","NOT_APPLICABLE","PASS"
"/health/tools/gerd-symptom-timing-log","tool","200","1","true","true","true","true","true","427","6","NOT_APPLICABLE","PASS"
"/health/tools/glucose-observation-log","tool","200","1","true","true","true","true","true","365","5","NOT_APPLICABLE","PASS"
"/health/tools/gout-visit-card","tool","200","1","true","true","true","true","true","470","5","NOT_APPLICABLE","PASS"
"/health/tools/irritable-bowel-syndrome-visit-card","tool","200","1","true","true","true","true","true","513","7","NOT_APPLICABLE","PASS"
"/health/tools/kidney-stones-visit-card","tool","200","1","true","true","true","true","true","486","6","NOT_APPLICABLE","PASS"
"/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","tool","200","1","true","true","true","true","true","506","6","NOT_APPLICABLE","PASS"
"/health/tools/migraine-visit-card","tool","200","1","true","true","true","true","true","485","6","NOT_APPLICABLE","PASS"
"/health/tools/oa-daily-activity-log","tool","200","1","true","true","true","true","true","445","4","NOT_APPLICABLE","PASS"
"/health/tools/oa-family-support","tool","200","1","true","true","true","false","false","421","3","NOT_APPLICABLE","PASS"
"/health/tools/oa-visit-questions","tool","200","1","true","true","true","true","true","470","3","NOT_APPLICABLE","PASS"
"/health/tools/obesity-visit-card","tool","200","1","true","true","true","false","false","465","5","NOT_APPLICABLE","PASS"
